Câu hỏi ,Trả lời,Phân Loại ,Sample
Xin cho biết mức học phí của trường Đại học đào tạo ngành CNTT là bao nhiêu?,Mức học phí của trường Đại học có chuyên ngành CNTT dao động từ 15 triệu đến 70 triệu đồng/năm tùy thuộc vào: Công lập (20-45.000.000đ/năm/SV) và Tư thục (30-70.000.000đ/năm/SV) ; Đại trà (20-30.000.000đ/năm/SV) hoặc Chất lượng cao (30-50.000.000đ/năm/SV). ,Học phí và Chính sách Tài chính,Vui lòng thông tin về mức học phí của trường là bao nhiêu?
Có ưu ái gì cho sinh viên nữ ngành CNTT?,"Rất nhiều học bổng của các tổ chức như Sở Giáo dục và Đào tạo, FPT Tech,… cho các sinh viên nữ tại TP Hồ Chí Minh: 2-20.000.000đ/năm ",Học phí và Chính sách Tài chính,Có ưu đãi đặc biệt nào dành riêng cho sinh viên nữ không?
Sự khác biệt giữa hệ chất lượng cao và hệ đại trà ngành CNTT là gì?,"Hệ đào tạo chất lượng cao học phí cao, sĩ số lớp học chỉ dưới 30 sinh viên, phòng máy lạnh, trang thiết bị được ưu tiên và chương trình đào tạo có kết hợp Ngoại ngữ. Còn hệ đại trà: sĩ số lớp từ 60 – 100 sinh viên, phòng quạt. ",Học phí và Chính sách Tài chính,Xin giải thích sự khác biệt giữa hệ chất lượng cao và hệ đại trà.
"Chính sách cho các ""Thủ khoa đầu vào""  ngành CNTT như thế nào?","Thủ khoa sẽ được cấp Học bổng tài năng và Miễn giảm học phí, được hỗ các Chương trình đào tạo Thạc sĩ. Tùy vào chính sách riêng của từng trường.",Học phí và Chính sách Tài chính,Cho tôi biết về khuyến khích Thủ Khoa của các trường.
Đề nghị cho biết quy định đóng học phí khi tạm dừng?,"SV Nộp đơn trước khi học kỳ bắt đầu: Không phải đóng học phí; SV Nộp đơn trong tuần 1 & 2 mỗi học kỳ: Được rút môn học (RT), đóng 20% học phí học kỳ; Nộp đơn trong tuần 3 & 4 mỗi học kỳ: Được rút môn học (RT), đóng 50% học phí học kỳ; Nộp đơn sau tuần thứ 4 mỗi học kỳ: Được rút môn học (RT), đóng 100% học phí học kỳ.",Học phí và Chính sách Tài chính,Có quy định nào về đóng học phí khi tôi tạm dừng học không?
Mức thu học phí của trường Đại học Quốc gia đào tạo ngành CNTT như thế nào?.,"Vào đầu năm học, căn cứ quy định hiện hành của Nhà nước, Hiệu trưởng công bố mức thu học phí của các hệ, bậc đào tạo trong toàn trường. Trường ta thu học phí theo tín chỉ, nếu quy về hệ niên chế tương đương như mức thu theo Nghị định 49.",Học phí và Chính sách Tài chính,Mức thu học phí của trường Đại học Quốc gia là bao nhiêu?
Quy định về thời gian thu học phí các trường đào tạo ngành CNTT?,"Mỗi học kỳ thu 2 đợt (trừ diện đăng ký nộp theo tháng). Đợt I: kéo dài 1,5 tháng tính từ đầu mỗi học kỳ; đợt II: kéo dài 1,5 tháng tính từ giữa học kỳ đến trước 01 tuần bắt đầu kỳ thi của mỗi học kỳ.",Học phí và Chính sách Tài chính,Xin thông tin về quy định về thời gian thu học phí.
"Việc miễn, giảm học phí cho SV áp dụng như thế nào?.","Từ năm học 2013-2014 trở đi, việc miễn, giảm học phí cho SV được thực hiện tại trường nơi SV đang học tập.",Học phí và Chính sách Tài chính,Làm thế nào để xin miễn hoặc giảm học phí và quy trình áp dụng như thế nào?
Đối tượng được giảm 50% học phí là ai?,"SV là con cán bộ, công nhân, viên chức mà cha hoặc mẹ bị tai nạn lao động hoặc mắc bệnh nghề nghiệp được hưởng trợ cấp thường xuyên.",Học phí và Chính sách Tài chính,Đối tượng nào được hưởng ưu đãi giảm 50% học phí?
"Nếu tôi tạm dừng học, thì cách xin hoàn lại học phí đã thanh toán là gì?",SV cần liên hệ với Phòng Công tác Sinh viên để biết thêm chi tiết và thủ tục liên quan. Hầu hết trường ĐH nào cũng hỗ trợ cho bạn bảo lưu.,Học phí và Chính sách Tài chính,"Nếu tôi quyết định tạm dừng học, thì làm thế nào để xin hoàn lại học phí đã thanh toán?"
Làm thế nào để xin học phí trả góp hoặc hỗ trợ vay vốn để thanh toán học phí?,Hầu hết các trường đều có chính sách đó. SV trao đổi và nhận được những lời tư vấn từ  Phòng Tài chính hoặc các tổ chức tài chính có thỏa thuận với trường. Họ sẽ hướng dẫn bạn về quy trình và yêu cầu cụ thể.,Học phí và Chính sách Tài chính,Xin hướng dẫn về việc xin học phí trả góp hoặc hỗ trợ vay vốn để thanh toán học phí.
Trường nào đào tạo ngành CNTT đông nhất?,trường Đại học Bách khoa TP.HCM (Đại học Bách Khoa) là trường có số lượng sinh viên theo học ngành CNTT đông nhất tại Hồ Chí Minh với hơn 4.000 sinh viên.,Học tập và Tài Liệu học tập,Trường đại học nào đào tạo đông ngành CNTT nhất?
Phòng Công tác SV cấp giấy tờ gì cho sinh viên?,Phòng Công tác SV chịu trách nhiệm cấp các loại giấy tờ & giải quyết các yêu cầu và thắc mắc cho SV.,Học tập và Tài Liệu học tập,Phòng Công tác Sinh viên cấp giấy tờ nào cho sinh viên?
Thủ tục để cấp giấy tờ cho SV là gì?,"SV có nhu cầu cấp giấy tờ đến phòng Công tác SV trình thẻ SV, lấy số, nhận & ghi vào phiếu đề xuất yêu cầu; bộ phận cấp giấy tờ có trách nhiệm kiểm tra, xử lý, in, trình ký, đóng dấu & cấp trực tiếp cho SV.",Học tập và Tài Liệu học tập,Vui lòng cung cấp thông tin về thủ tục để cấp giấy tờ cho sinh viên.
Thời gian làm việc của phòng Công tác SV?,Thời gian làm việc ở các trường Đại học: Buổi sáng từ 9h00 đến 11h00; buổi chiều từ 15h00 đến 16h30.,Học tập và Tài Liệu học tập,Khi nào SV sẽ được thông báo kết quả?
SV cần làm gì để xin học tiếp sau khi tạm dừng?,Phòng Công tác SV thiết kế các mẫu giấy tờ theo nhu cầu sử dụng của SV,Học tập và Tài Liệu học tập,"Để tiếp tục học sau khi tạm dừng, SV phải thực hiện những thủ tục gì?"
